epci2020;semaine_glissante;clage_65;ti
200023414;2020-10-04-2020-10-10;0;267.2
200030195;2020-10-04-2020-10-10;0;112.9
200039865;2020-10-04-2020-10-10;0;112.4
200040715;2020-10-04-2020-10-10;0;433.4
200046977;2020-10-04-2020-10-10;0;379.5
200054781;2020-10-04-2020-10-10;0;353.1
200054807;2020-10-04-2020-10-10;0;238.9
242100410;2020-10-04-2020-10-10;0;186.6
242900314;2020-10-04-2020-10-10;0;87.9
243100518;2020-10-04-2020-10-10;0;260.8
243300316;2020-10-04-2020-10-10;0;141.6
243400017;2020-10-04-2020-10-10;0;244.3
243500139;2020-10-04-2020-10-10;0;135.5
243700754;2020-10-04-2020-10-10;0;181.2
244200770;2020-10-04-2020-10-10;0;504.1
244400404;2020-10-04-2020-10-10;0;148
244500468;2020-10-04-2020-10-10;0;173.2
245400676;2020-10-04-2020-10-10;0;124.4
245900410;2020-10-04-2020-10-10;0;484.1
246300701;2020-10-04-2020-10-10;0;236
246700488;2020-10-04-2020-10-10;0;144.9
248300543;2020-10-04-2020-10-10;0;107.3
200023414;2020-10-05-2020-10-11;0;273.8
200030195;2020-10-05-2020-10-11;0;113
200039865;2020-10-05-2020-10-11;0;113
200040715;2020-10-05-2020-10-11;0;437.2
200046977;2020-10-05-2020-10-11;0;382
200054781;2020-10-05-2020-10-11;0;354.9
200054807;2020-10-05-2020-10-11;0;239.6
242100410;2020-10-05-2020-10-11;0;185
242900314;2020-10-05-2020-10-11;0;83.2
243100518;2020-10-05-2020-10-11;0;269.1
243300316;2020-10-05-2020-10-11;0;140
243400017;2020-10-05-2020-10-11;0;244.1
243500139;2020-10-05-2020-10-11;0;138.8
243700754;2020-10-05-2020-10-11;0;180.8
244200770;2020-10-05-2020-10-11;0;512.9
244400404;2020-10-05-2020-10-11;0;148.4
244500468;2020-10-05-2020-10-11;0;195.1
245400676;2020-10-05-2020-10-11;0;123.5
245900410;2020-10-05-2020-10-11;0;504.5
246300701;2020-10-05-2020-10-11;0;245.8
246700488;2020-10-05-2020-10-11;0;144.7
248300543;2020-10-05-2020-10-11;0;107.5
200023414;2020-10-06-2020-10-12;0;275.1
200030195;2020-10-06-2020-10-12;0;125.5
200039865;2020-10-06-2020-10-12;0;132.5
200040715;2020-10-06-2020-10-12;0;463.8
200046977;2020-10-06-2020-10-12;0;425.7
200054781;2020-10-06-2020-10-12;0;373.2
200054807;2020-10-06-2020-10-12;0;249.3
242100410;2020-10-06-2020-10-12;0;190.7
242900314;2020-10-06-2020-10-12;0;95.4
243100518;2020-10-06-2020-10-12;0;284
243300316;2020-10-06-2020-10-12;0;143.2
243400017;2020-10-06-2020-10-12;0;261.8
